RIGOL TECHNOLOGIES,DP821A,DP8E165350191,00.01.13
Date, Time, voltage1, current1, power1, voltage2, current2, power2
2023-07-28, 17:13:43, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:44, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:45, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:47, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:48, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:49, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:50, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:51, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:52, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:53, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:54, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:55, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:56, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:57, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:58, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:59, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:00, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:01, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:02, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:04, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:05, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:06, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:07, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:08, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:09, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:10, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:11, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:12, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:13, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:14, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:15, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:16, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:17, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:18, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:19, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:20, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:22, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:23, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:24, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:25, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:26, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:27, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:28, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:29, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:30, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:31, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:32, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:33, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:34, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:35, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:37, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:38, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:39, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:40, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:41, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:42, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:43, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:44, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:45, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:46, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:47, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:48, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:49, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:50, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:51, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:52, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:54, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:55, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:56, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:57, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:58, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:14:59, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:00, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:01, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:02, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:03, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:04, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:05, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:07, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:08, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:09, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:10, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:11, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:12, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:13, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:14, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:15, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:16, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:17, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:18, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:19, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:21, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:22, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:23, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:24, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:25, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:26, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:27, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:28, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:29, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:30, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:31, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:32, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:33, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:35, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:36, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:37, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:38, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:39, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:40, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:41, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:42, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:43, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:44, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:45, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:46, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:48, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:49, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:50, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:51, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:52, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:53, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:54, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:55, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:56, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:57, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:15:58, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:16:00, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:16:01, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:16:02, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:16:03, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:16:04, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
